URL,SIZE,No of Outlinks,Content-Type
http://www.nydailynews.com/,197887,380,text/html
http://www.nydailynews.com/tags/tom-price,106823,149,text/html
http://www.nydailynews.com/newswires/news/national/calls-mysterious-health-ailments-cuba-attacks-article-1.3531595,89414,106,text/html
http://www.nydailynews.com/sports/baseball/yankees/artist-draws-original-stadium-names-yankee-article-1.3529220,93385,105,text/html
http://www.nydailynews.com/autos,120821,330,text/html
http://www.nydailynews.com/new-york/biker-hurt-slams-motorcycle-median-article-1.3532313,86695,103,text/html
http://www.nydailynews.com/news/national/journalist-arrested-question-tom-price-ahca-article-1.3151672,90227,107,text/html
http://www.nydailynews.com/entertainment/stars-paris-fashion-week-gallery-1.3522457,67746,20,text/html
http://www.nydailynews.com/amp/sports/baseball/yankees/artist-draws-original-stadium-names-yankee-article-1.3529220,33921,19,text/html
http://www.nydailynews.com/entertainment,155256,274,text/html
http://www.nydailynews.com/sports/baseball/mets,121284,160,text/html
http://www.nydailynews.com/horoscopes/cancer,108080,131,text/html
http://www.nydailynews.com/tags/associated-press,107357,144,text/html
http://www.nydailynews.com/news/crime/food-plant-worker-convicted-beheading-colleague-article-1.3532301,87484,103,text/html
http://www.nydailynews.com/news/politics/trump-boasts-political-conquest-national-scout-jamboree-article-1.3352514,92973,109,text/html
http://www.nydailynews.com/life-style/cranberry-juice-cure-urinary-tract-infections-article-1.3531360,91252,110,text/html
http://www.nydailynews.com/newswires/new-york/police-probe-no-evidence-bias-rabbi-stopped-article-1.3531216,93932,106,text/html
http://www.nydailynews.com/news/president-obama-retirement-gallery-1.2966216,68204,20,text/html
http://www.nydailynews.com/sports/basketball/russell-westbrook-okc-winning-offseason-article-1.3532600,93854,114,text/html
http://www.nydailynews.com/sports/football/britt-mchenry-nfl-apologize-vegas-cops-article-1.3532519,92002,118,text/html
http://www.nydailynews.com/life-style/runners-compete-sweden-famous-10k-mud-race-tjurruset-gallery-1.3532816,68059,20,text/html
http://www.nydailynews.com/services,39107,60,text/html
http://www.nydailynews.com/authors?author=Ari-Gilberg,106962,160,text/html
