URL,SIZE,No of Outlinks,Content-Type
http://www.nydailynews.com/,195281,386,text/html
http://www.nydailynews.com/life-style/health/losing-weight-save-lots-money-article-1.3523256,86451,107,text/html
http://www.nydailynews.com/sports/football/giants/eli-manning-focus-playing-football-not-protests-article-1.3523476,89041,111,text/html
http://www.nydailynews.com/sports/hockey/islanders,122760,160,text/html
http://www.nydailynews.com/autos,121062,332,text/html
http://www.nydailynews.com/new-york/education,129259,216,text/html
http://www.nydailynews.com/sports/football/giants/odell-beckham-tds-tantrums-circus-catches-gallery-1.3413550,68205,21,text/html
http://www.nydailynews.com/autos/latest-reviews,92353,234,text/html
http://www.nydailynews.com/new-york,167721,295,text/html
http://www.nydailynews.com/horoscopes,121937,143,text/html
http://www.nydailynews.com/tags/featured-lifestyle,107168,158,text/html
http://www.nydailynews.com/life-style/reasons-stock-market-surprisingly-strong-article-1.3518634,89245,112,text/html
http://www.nydailynews.com/tags/kevin-hart,109682,162,text/html
http://www.nydailynews.com/tags/eli-manning,110538,166,text/html
http://www.nydailynews.com/services/contact-us,98537,101,text/html
http://www.nydailynews.com/sports/hockey/islanders/doug-weight-islanders-job-second-half-turnaround-article-1.3047115,90451,112,text/html
http://www.nydailynews.com/life-style/health/std-rates-hit-time-highs-year-row-article-1.3523369,88768,110,text/html
http://www.nydailynews.com/tags/national-anthem-protest,107887,158,text/html
http://www.nydailynews.com/entertainment/julia-stiles-marries-preston-cook-shotgun-wedding-article-1.3523568,88132,106,text/html
http://www.nydailynews.com/newswires/entertainment/judges-split-making-murderer-appeal-article-1.3521524,92335,106,text/html
http://www.nydailynews.com/sports/basketball/knicks/melo-leaves-knicks-good-terms-agent-talks-win-win-trade-article-1.3523301,90143,109,text/html
http://www.nydailynews.com/tags/health-studies,107456,158,text/html
http://www.nydailynews.com/sports/football/dallas-broadcaster-trump-criticism-nfl-protests-article-1.3522991,91818,115,text/html
http://www.nydailynews.com/sports/basketball/knicks/michael-beasley-attempts-blow-minds-bizarre-brain-theory-article-1.3523265,88664,109,text/html
http://www.nydailynews.com/sports/hockey/islanders/islanders-submit-bid-new-arena-belmont-park-article-1.3086422,88294,110,text/html
http://www.nydailynews.com/horoscopes/monthly,118156,138,text/html
http://www.nydailynews.com/entertainment/gossip/khloe-kardashian-reportedly-expecting-child-tristan-thompson-article-1.3523330,91665,114,text/html
http://www.nydailynews.com/amp/life-style/health/losing-weight-save-lots-money-article-1.3523256,26977,22,text/html
http://www.nydailynews.com/life-style,151584,278,text/html
http://www.nydailynews.com/horoscopes/daily,109465,126,text/html
http://www.nydailynews.com/new-york/brooklyn/legally-blind-jewish-woman-mocked-attacked-brooklyn-article-1.3523228,85790,105,text/html
http://www.nydailynews.com/sports/sports-stars-gallery-1.2432390,67155,20,text/html
http://www.nydailynews.com/services/careers,24866,14,text/html
http://www.nydailynews.com/newswires/new-york/school-board-chair-defends-500-000-ballot-question-donation-article-1.3523563,88052,105,text/html
http://www.nydailynews.com/sports/players-kneel-national-anthem-protest-trump-gallery-1.3517651,69216,20,text/html
http://www.nydailynews.com/news/national/teen-teacher-alleged-kidnapping-doesn-regret-article-1.3523481,91339,114,text/html
http://www.nydailynews.com/news/world/beauty-queen-refuses-pageant-title-told-diet-article-1.3461154,87641,105,text/html
http://www.nydailynews.com/sports/football/giants/giants-kneel-lock-arms-national-anthem-time-article-1.3517855,94386,119,text/html
http://www.nydailynews.com/newswires/new-york/trump-raising-money-new-york-2020-campaign-gop-article-1.3523246,85377,105,text/html
http://www.nydailynews.com/news/politics,118640,156,text/html
http://www.nydailynews.com/sports/new-york-daily-news-back-pages-2017-gallery-1.2943572,67205,20,text/html
http://www.nydailynews.com/horoscopes/aquarius,108786,132,text/html
http://www.nydailynews.com/tags/mexico,107264,157,text/html
http://www.nydailynews.com/horoscopes/weekly,117663,138,text/html
http://www.nydailynews.com/autos/news/chevrolet-camaro-gt4r-sports-car-article-1.3522242,84906,110,text/html
http://www.nydailynews.com/amp/sports/football/giants/eli-manning-focus-playing-football-not-protests-article-1.3523476,26854,22,text/html
http://www.nydailynews.com/horoscopes/pisces,108657,132,text/html
http://www.nydailynews.com/newswires/news/world/un-sponsored-dialogue-libyan-crisis-underway-tunis-article-1.3523066,85160,105,text/html
http://www.nydailynews.com/opinion/megyn-kelly-sidestep-politics-article-1.3522280,87290,109,text/html
http://www.nydailynews.com/sports/piledriver-iconic-moments-history-wrestlemania-gallery-1.3015288,69907,20,text/html
http://www.nydailynews.com/sports/hockey,120584,164,text/html
http://www.nydailynews.com/horoscopes/taurus,108691,132,text/html
http://www.nydailynews.com/authors?author=Constance-Gibbs,106356,160,text/html
http://www.nydailynews.com/horoscopes/capricorn,108741,132,text/html
http://www.nydailynews.com/horoscopes/gemini,108628,132,text/html
http://www.nydailynews.com/photos,111623,173,text/html
http://www.nydailynews.com/autos/fiat,40669,137,text/html
http://www.nydailynews.com/news/national/murder-suspect-purchased-gas-day-vanessa-marcotte-death-article-1.3522460,89180,107,text/html
http://www.nydailynews.com/autos/news,99612,288,text/html
http://www.nydailynews.com/authors?author=John-Healy,106932,160,text/html
http://www.nydailynews.com/newswires/news/world/saudi-arabia-women-drive-1st-time-year-article-1.3523044,95667,107,text/html
http://www.nydailynews.com/sports/hockey/islanders/nhl-commish-isles-returning-nassau-coliseum-article-1.3480984,90579,108,text/html
http://www.nydailynews.com/autos/eye-candy-2018-maserati-ghibli-granlusso-gallery-1.3513592,27644,20,text/html
http://www.nydailynews.com/entertainment/tv/hgtv-fixer-upper-upcoming-season-article-1.3522467,90004,111,text/html
http://www.nydailynews.com/newswires/news/business/latest-gop-concedes-defeat-health-care-overhaul-article-1.3522257,91977,105,text/html
http://www.nydailynews.com/horoscopes/virgo,108612,132,text/html
http://www.nydailynews.com/sports/hockey/islanders/islanders-trade-travis-hamonic-flames-draft-picks-article-1.3275303,84954,106,text/html
http://www.nydailynews.com/newswires/news/national/trump-plans-slash-refugee-admissions-article-1.3523060,88346,105,text/html
http://www.nydailynews.com/news/national/maria-ravaged-pr-left-misery-no-power-water-food-article-1.3523611,98674,115,text/html
http://www.nydailynews.com/news/mexico-city-deadly-earthquake-gallery-1.3522829,68014,21,text/html
http://www.nydailynews.com/sports/hockey/isles-greiss-likes-social-media-post-comparing-hitler-hillary-article-1.3162286,89341,105,text/html
http://www.nydailynews.com/news/national/husband-missing-woman-pleads-not-guilty-stolen-coins-case-article-1.3523158,91246,110,text/html
http://www.nydailynews.com/sports/hockey/nhl-20-greatest-teams-includes-94-rangers-3-isles-cup-winners-article-1.3176398,90574,105,text/html
http://www.nydailynews.com/newswires/news/business/slaps-220-percent-duty-canada-bombardier-jets-article-1.3523587,87420,105,text/html
http://www.nydailynews.com/sports/basketball/mark-cuban-lends-team-plane-barea-puerto-rico-article-1.3522874,88927,110,text/html
http://www.nydailynews.com/sports/hockey/rangers,121386,157,text/html
http://www.nydailynews.com/newswires/news/business/obamacare-survives-gop-concedes-last-gasp-repeal-article-1.3521812,95994,107,text/html
http://www.nydailynews.com/sports/hockey/best-nhl-playoff-overtime-goals-article-1.3047633,98517,121,text/html
http://www.nydailynews.com/entertainment/music/rapper-young-dolph-hit-multiple-times-hollywood-shooting-article-1.3523298,86249,107,text/html
http://www.nydailynews.com/autos/first-pictures-2019-genesis-g70-gallery-1.3497880,27048,20,text/html
http://www.nydailynews.com/news/politics/u-s-military-boss-n-korea-hasn-escalated-military-actions-article-1.3522544,89659,110,text/html
http://www.nydailynews.com/autos/gallery-2019-mercedes-benz-s560e-sedan-photos-gallery-1.3511660,27951,20,text/html
http://www.nydailynews.com/life-style/hero-groom-saves-boy-drowning-wedding-photo-shoot-article-1.3522764,89326,110,text/html
http://www.nydailynews.com/entertainment/gossip/h-wood-pda-stars-public-affection-gallery-1.73404,69107,21,text/html
http://www.nydailynews.com/sports/hockey/islanders/islanders-not-happy-greiss-liking-hitler-hillary-post-article-1.3162666,90428,112,text/html
http://www.nydailynews.com/services/sitemap,110511,122,text/html
http://www.nydailynews.com/new-york/bronx/video-bronx-man-left-die-hospital-hours-neglect-article-1.3521492,99347,107,text/html
http://www.nydailynews.com/autos/street-smarts/what-is-nissan-propilot-assist-article-1.3474817,91467,113,text/html
http://www.nydailynews.com/news/crime/mother-run-daughter-ex-boyfriend-car-article-1.3522183,86521,106,text/html
http://www.nydailynews.com/sports/hockey/rangers/confident-inquisitive-lias-andersson-receiving-plenty-praise-article-1.3504830,88500,102,text/html
http://www.nydailynews.com/entertainment/music/aerosmith-cancels-shows-due-steven-tyler-medical-issues-article-1.3523015,88266,109,text/html
http://www.nydailynews.com/tags/anthony-weiner,107367,157,text/html
http://www.nydailynews.com/new-york/education/cornell-tech-campus-roosevelt-island-opens-wednesday-article-1.3491052,89847,109,text/html
http://www.nydailynews.com/tags/hurricane-maria,107111,150,text/html
http://www.nydailynews.com/newswires/new-york/lawmaker-proposes-report-cards-new-york-institutions-article-1.3523384,87870,105,text/html
http://www.nydailynews.com/tags/united-nations,107480,157,text/html
http://www.nydailynews.com/sports/football/giants/mcadoo-giants-sinking-ship-hold-odell-accountable-article-1.3523543,97343,117,text/html
http://www.nydailynews.com/entertainment/tv,119022,161,text/html
http://www.nydailynews.com/services/terms-services,122638,101,text/html
http://www.nydailynews.com/new-york/boy-suffers-seizure-school-bus-driver-questions-mother-article-1.3509023,93306,114,text/html
http://www.nydailynews.com/autos/gmc,60539,177,text/html
http://www.nydailynews.com/sports/football/giants/giants-tough-decision-odell-beckham-jr-s-immaturity-article-1.3520612,99383,115,text/html
http://www.nydailynews.com/entertainment/pete-davidson-reveals-borderline-personality-disorder-diagnosis-article-1.3522666,90606,112,text/html
http://www.nydailynews.com/sports/hockey/rangers/decisions-rangers-rookies-lias-andersson-filip-chytil-loom-article-1.3523574,90328,109,text/html
http://www.nydailynews.com/life-style/health,118468,160,text/html
http://www.nydailynews.com/news/politics/malliotakis-trump-nfl-protesting-u-s-anthem-article-1.3523337,90766,113,text/html
http://www.nydailynews.com/new-york/manhattan,121532,171,text/html
http://www.nydailynews.com/sports/football/matt-light-sunday-ashamed-patriot-article-1.3522850,92974,116,text/html
http://www.nydailynews.com/sports/football/brent-musberger-takes-shot-tony-romo-broadcasting-skills-article-1.3522798,89331,113,text/html
http://www.nydailynews.com/new-york/brooklyn,121853,173,text/html
http://www.nydailynews.com/entertainment/tv/modern-family-star-sofia-vergara-tv-highest-paid-actress-article-1.3522775,90992,117,text/html
http://www.nydailynews.com/newswires/sports/nfl-opts-not-react-trump-anthem-kneel-rule-tweet-article-1.3521978,91594,106,text/html
http://www.nydailynews.com/tags/us-newswires,107715,154,text/html
http://www.nydailynews.com/life-style/equifax-breach-latest-challenge-consumer-rights-privacy-article-1.3504411,90653,115,text/html
http://www.nydailynews.com/news/crime,117669,156,text/html
http://www.nydailynews.com/entertainment/best-selfies-time-gallery-1.1522211,68771,20,text/html
http://www.nydailynews.com/sports/postponed-due-weather-worst-natural-disasters-sports-gallery-1.3481153,68858,20,text/html
http://www.nydailynews.com/horoscopes/scorpio,108693,132,text/html
http://www.nydailynews.com/tags/auto-videos,107362,152,text/html
http://www.nydailynews.com/sports/jets-30-starting-quarterbacks-joe-namath-gallery-1.3461481,69095,20,text/html
http://www.nydailynews.com/sports/football,125899,172,text/html
http://www.nydailynews.com/sports/baseball/mets,119490,162,text/html
http://www.nydailynews.com/sports/id-click-that,121225,158,text/html
http://www.nydailynews.com/entertainment/gossip/game-thrones-stars-kit-harington-rose-leslie-engaged-article-1.3523010,90069,115,text/html
http://www.nydailynews.com/autos/news/porsche-innodrive-adaptive-cruise-control-system-2019-cayenne-article-1.3480251,85279,108,text/html
http://www.nydailynews.com/sports/baseball/brian-mcnamee-lawyer-relieved-client-isn-jail-article-1.3523474,91608,110,text/html
http://www.nydailynews.com/entertainment/music,117934,161,text/html
http://www.nydailynews.com/new-york/education/pace-university-students-blame-school-active-shooter-scare-article-1.3509860,94644,115,text/html
http://www.nydailynews.com/news/world/pitbull-sends-private-plane-rescue-cancer-patients-pr-article-1.3523262,88489,109,text/html
http://www.nydailynews.com/new-york/manhattan/water-begins-flooding-world-trade-center-elevator-article-1.3522842,87720,110,text/html
http://www.nydailynews.com/sports/odds,97367,104,text/html
http://www.nydailynews.com/entertainment/gossip/confidential/jose-reyes-baby-mama-charged-felony-weapon-possession-article-1.3523271,88168,112,text/html
http://www.nydailynews.com/autos/news/volvo-unveils-2019-xc40-2018-odyssey-earns-tsp-article-1.3511901,95764,121,text/html
http://www.nydailynews.com/news/national/customer-finds-maggots-wawa-sandwich-article-1.3523079,87455,109,text/html
http://www.nydailynews.com/sports/hockey/islanders/islanders-acquire-jordan-eberle-oilers-ryan-strome-article-1.3269141,87345,106,text/html
http://www.nydailynews.com/newswires/news/national/republican-sen-corker-announces-won-seek-re-election-article-1.3523144,91421,105,text/html
http://www.nydailynews.com/newswires/news/national/latest-pentagon-boosts-troop-numbers-puerto-rico-article-1.3522472,94464,106,text/html
http://www.nydailynews.com/tags/business-newswires,108010,152,text/html
http://www.nydailynews.com/new-york/brooklyn/quiz-train-stops-article-1.3522908,86727,111,text/html
http://www.nydailynews.com/newswires/entertainment/aerosmith-steven-tyler-returns-medical-care-article-1.3523520,85266,105,text/html
http://www.nydailynews.com/sports/baseball/yankees/aaron-judge-breaks-mark-mcgwire-rookie-home-run-record-article-1.3520223,91000,108,text/html
http://www.nydailynews.com/newswires/news/national/trump-suddenly-focuses-puerto-rico-promises-visit-aid-article-1.3522358,93622,107,text/html
http://www.nydailynews.com/news,152639,260,text/html
http://www.nydailynews.com/entertainment/fanatic-celebrity-fans-gallery-1.2563937,67449,19,text/html
http://www.nydailynews.com/new-york/manhattan/harry-macklowe-seeks-annex-part-wife-nyc-pad-divorce-article-1.3523307,94194,111,text/html
http://www.nydailynews.com/opinion,136718,229,text/html
http://www.nydailynews.com/sports/basketball/nets,121153,160,text/html
http://www.nydailynews.com/opinion/donald-trump-capable-genuine-strategic-thinking-article-1.3522752,91829,114,text/html
